Title	URL	Assignees	Status	Priority	Time Estimate	Sprints	TaskType	Nature	Epic
As a user when we want to see an item, we don't want to see text that looks like the editable text part			Done in "Sprint #5"			Sprints #5		User Story	
StampScreen, missing tests	https://github.com/EPFLSWENT2024G1/partagix/issues/100	Mass-14	Done in "Sprint #5"	TOP	11	Sprints #5	Complete UI/VM/Test	Sprint Task	Loaner & Inventory
LoanRequest	https://github.com/EPFLSWENT2024G1/partagix/issues/97	Patrick-Pataky	Done in "Sprint #5"	MID	12	Sprints #5	Backend	Sprint Task	Borrower
Fix the Build APK workflow (CI)	https://github.com/EPFLSWENT2024G1/partagix/issues/103	Patrick-Pataky	Done in "Sprint #5"	TOP	2	Sprints #5	Tools setup and maintenance	Sprint Task	
Finish the end to end test	https://github.com/EPFLSWENT2024G1/partagix/issues/95	LozanoCyrielle	Done in "Sprint #5"	TOP	10	Sprint #4	Testing	Sprint Task	
Create Item: No categories = CRASH	https://github.com/EPFLSWENT2024G1/partagix/issues/157	AntoineBut	Done in "Sprint #6"	TOP	4	Sprints #6	Frontend	Milestone	Loaner & Inventory
Tests: ImagePicker	https://github.com/EPFLSWENT2024G1/partagix/issues/138	AntoineBut	Done in "Sprint #6"	MID	6	Sprints #6	Testing	Sprint Task	
Tests: Inventory Screen	https://github.com/EPFLSWENT2024G1/partagix/issues/134	skyrag	Done in "Sprint #6"	TOP	4	Sprints #6	Testing	Sprint Task	Loaner & Inventory
Loans not loaded at first launch	https://github.com/EPFLSWENT2024G1/partagix/issues/193	Mass-14	Done in "Sprint #6"	TOP	1	Sprints #6	Backend	Sprint Task	Login & Account
ManageLoanRequest	https://github.com/EPFLSWENT2024G1/partagix/issues/98	skyrag	Done in "Sprint #6"	TOP	30	Sprints #6	Complete UI/VM/Test	Sprint Task	Loaner & Inventory
Fix google login in APK	https://github.com/EPFLSWENT2024G1/partagix/issues/184	LozanoCyrielle, Patrick-Pataky	Done in "Sprint #6"	TOP	2	Sprints #6	Backend	Sprint Task	Login & Account
Database/UI Link: User	https://github.com/EPFLSWENT2024G1/partagix/issues/146	Valentin889	Done in "Sprint #6"	TOP	2	Sprints #6	Frontend	User Story	Login & Account
Figma: EPIC 2	https://github.com/EPFLSWENT2024G1/partagix/issues/123	LozanoCyrielle	Done in "Sprint #6"	TOP	8	Sprints #6	Figma design	Milestone	Socials
Optimizing the CI	https://github.com/EPFLSWENT2024G1/partagix/issues/136	KassFlute, LozanoCyrielle	Done in "Sprint #6"	TOP	4	Sprints #6	Tools setup and maintenance	Sprint Task	
Fix inventory test	https://github.com/EPFLSWENT2024G1/partagix/issues/92	skyrag	Done in "Sprint #6"	TOP	5	Sprint #4	Tools setup and maintenance	Sprint Task	Loaner & Inventory
StampViewModel	https://github.com/EPFLSWENT2024G1/partagix/issues/105	AntoineBut	Done in "Sprint #5"	TOP	4	Sprints #5	Backend	Sprint Task	Loaner & Inventory
other tests	https://github.com/EPFLSWENT2024G1/partagix/issues/90	LozanoCyrielle, Valentin889	Done in "Sprint #5"	TOP	7	Sprint #4	Tools setup and maintenance	Sprint Task	
Link google users to DB users	https://github.com/EPFLSWENT2024G1/partagix/issues/104	Valentin889	Done in "Sprint #5"	TOP	4	Sprints #5	Backend	Sprint Task	Login & Account
HomeScreen	https://github.com/EPFLSWENT2024G1/partagix/issues/101	KassFlute	Done in "Sprint #5"	TOP	10	Sprints #5	Complete UI/VM/Test	Sprint Task	Login & Account
Figma of ManageLoanRequest call from Inventory	https://github.com/EPFLSWENT2024G1/partagix/issues/99	Patrick-Pataky	Done in "Sprint #5"	TOP	4	Sprints #5	Figma design	Sprint Task	Loaner & Inventory
finish the tests for the login screen	https://github.com/EPFLSWENT2024G1/partagix/issues/86	Valentin889	Done in "Sprint #4"	TOP	4	Sprint #4	Tools setup and maintenance	Sprint Task	Login & Account
make tests for the database	https://github.com/EPFLSWENT2024G1/partagix/issues/87	Valentin889	Done in "Sprint #4"	TOP	4	Sprint #4	Tools setup and maintenance	Sprint Task	
fix the bugs in navigation	https://github.com/EPFLSWENT2024G1/partagix/issues/85	AntoineBut	Done in "Sprint #5"	TOP	5	Sprints #5	Frontend	Sprint Task	
Both as a borrower and a loaner, I want to be able to chat with other user			Product Backlog					User Story	Socials
As a user, I want to be able to go on the Home page after I logged in			Done in "Sprint #5"			Sprint #4		User Story	Login & Account
Setup sonarCloud full analysis (not automatic)	https://github.com/EPFLSWENT2024G1/partagix/issues/62	KassFlute	Done in "Sprint #3"	MID	2	Sprint #2	Tools setup and maintenance	Organization and Planning	
Design an end-to-end test	https://github.com/EPFLSWENT2024G1/partagix/issues/64	LozanoCyrielle	Done in "Sprint #3"	TOP	4	Sprint #3	Testing	Sprint Task	
